"filename", "language", "MS SQL", "JSON with Comments", "HTML", "JSON", "JavaScript", "Python", "TypeScript", "Markdown", "PostCSS", "pip requirements", "C++", "BibTeX", "XML", "Java", "Log", "LaTeX", "Batch", "PowerShell", "C", "CMake", "CMake Cache", "YAML", "Makefile", "Docker", "comment", "blank", "total"
"d:\Code Files\vscode\CCpp\modernCpp\cpp20feature.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 160
"d:\Code Files\vscode\CCpp\modernCpp\learn.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 34, 206
"d:\Code Files\vscode\CCpp\modernCpp\temp.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 4, 43
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\CMakePresets.json", "JSON", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\cache-v2-6a9b56cd99651544f617.json", "JSON", 0, 0, 0, 2423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2424
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\cmakeFiles-v1-4f0ab570b1ad15ab93ad.json", "JSON", 0, 0, 0, 1472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1473
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\codemodel-v2-232d73299f489c5a04c1.json", "JSON", 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 265
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\directory-.-MinSizeRel-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\directory-.-RelWithDebInfo-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\directory-.-Release-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\index-2025-08-03T06-34-02-0471.json", "JSON", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 134
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ALL_BUILD-Debug-7c4a625073d14f36083c.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ALL_BUILD-MinSizeRel-7c4a625073d14f36083c.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ALL_BUILD-RelWithDebInfo-7c4a625073d14f36083c.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ALL_BUILD-Release-7c4a625073d14f36083c.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-BookManagePlus-Debug-c1e8a19f8feb5bf62daa.json", "JSON", 0, 0, 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 594
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-BookManagePlus-MinSizeRel-f32c262b2618d8264ec9.json", "JSON", 0, 0, 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 594
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-BookManagePlus-RelWithDebInfo-36da56472c15f08b20a1.json", "JSON", 0, 0, 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 594
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-BookManagePlus-Release-a1323ea82fd10d50ed0b.json", "JSON", 0, 0, 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 594
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ZERO_CHECK-Debug-93a7cae917929ede4d3e.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ZERO_CHECK-MinSizeRel-93a7cae917929ede4d3e.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ZERO_CHECK-RelWithDebInfo-93a7cae917929ede4d3e.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\target-ZERO_CHECK-Release-93a7cae917929ede4d3e.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply\toolchains-v1-3571e7675515c2ff03e9.json", "JSON", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\ALL_BUILD.vcxproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\BookManagePlus.vcxproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 505, 0, 0, 0, 0, 152, 657
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 16, 85
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 2, 22, 105
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CMakeRCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 151, 921
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdCXX\CompilerIdCXX.vcxproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 73
"d:\Code Files\vscode\CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdCXX\Debug\vcpkg.applocal.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
